region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024
Southeast,FL,0.27,0.28,0.28,0.29,0.29,0.3,0.34,0.33,0.32,0.32
Southeast,FL,0.27,0.28,0.28,0.28,0.28,0.28,0.31,0.32,0.32,0.32
Southeast,FL,0.24,0.25,0.26,0.26,0.26,0.26,0.29,0.29,0.29,0.29
Southeast,FL,0.22,0.23,0.23,0.23,0.24,0.25,0.29,0.27,0.25,0.25
Southeast,FL,0.29,0.3,0.3,0.29,0.29,0.3,0.37,0.38,0.4,0.4
Southeast,FL,0.23,0.22,0.22,0.23,0.23,0.23,0.25,0.26,0.27,0.27
Southeast,FL,0.25,0.25,0.26,0.25,0.26,0.27,0.32,0.31,0.31,0.32
Southeast,FL,0.25,0.26,0.26,0.25,0.26,0.26,0.29,0.3,0.3,0.3
Southeast,FL,0.23,0.23,0.23,0.24,0.25,0.26,0.3,0.29,0.28,0.27
Southeast,FL,0.35,0.35,0.35,0.34,0.35,0.36,0.41,0.43,0.41,0.41
Southeast,FL,0.24,0.24,0.24,0.27,0.3,0.28,0.31,0.3,0.29,0.29
Southeast,FL,0.28,0.29,0.3,0.29,0.28,0.31,0.36,0.39,0.41,0.4
Southeast,GA,0.21,0.21,0.22,0.22,0.23,0.23,0.26,0.25,0.24,0.24
Southeast,GA,0.2,0.21,0.21,0.21,0.21,0.22,0.24,0.23,0.24,0.24
Southeast,GA,0.22,0.22,0.22,0.23,0.24,0.23,0.26,0.27,0.27,0.27
Southeast,GA,0.21,0.21,0.2,0.19,0.2,0.2,0.23,0.23,0.23,0.23
Southeast,GA,0.27,0.28,0.27,0.28,0.29,0.29,0.31,0.31,0.33,0.33
Southeast,GA,0.21,0.22,0.21,0.22,0.22,0.23,0.26,0.26,0.26,0.26
Southeast,GA,0.26,0.25,0.24,0.24,0.24,0.25,0.29,0.3,0.3,0.32
West,HI,0.29,0.29,0.29,0.29,0.29,0.28,0.3,0.29,0.29,0.3
Midwest,IA,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18
West,ID,0.21,0.21,0.22,0.22,0.22,0.23,0.26,0.25,0.25,0.25
West,ID,0.14,0.14,0.15,0.16,0.16,0.16,0.19,0.19,0.19,0.2
Midwest,IL,0.26,0.26,0.25,0.25,0.25,0.23,0.25,0.25,0.26,0.27
Midwest,IL,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.16
Midwest,IL,0.17,0.17,0.17,0.17,0.18,0.18,0.2,0.2,0.21,0.22
Midwest,IL,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.22,0.23,0.24
Midwest,IN,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.22
Midwest,IN,0.16,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.2,0.21
Midwest,IN,0.17,0.16,0.17,0.17,0.17,0.18,0.21,0.21,0.21,0.22
Midwest,IN,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.17,0.18
Midwest,IN,0.22,0.22,0.22,0.24,0.24,0.25,0.26,0.27,0.28,0.29
Midwest,KS,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.19,0.19
Midwest,KS,0.15,0.16,0.16,0.16,0.17,0.17,0.19,0.19,0.19,0.2
Midwest,KS,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22
Southeast,KY,0.19,0.19,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.24
Southeast,KY,0.19,0.19,0.2,0.19,0.2,0.2,0.22,0.22,0.23,0.24
Southeast,LA,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.29,0.29,0.29
Southeast,LA,0.23,0.24,0.23,0.22,0.22,0.22,0.24,0.24,0.24,0.24
Southeast,LA,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.27,0.27
Northeast,MA,0.2,0.2,0.21,0.21,0.22,0.22,0.24,0.24,0.25,0.26
Northeast,MD,0.22,0.21,0.21,0.21,0.21,0.21,0.23,0.22,0.22,0.23
Northeast,MD,0.2,0.2,0.19,0.19,0.2,0.2,0.22,0.23,0.22,0.23
Northeast,MD,0.16,0.17,0.17,0.17,0.16,0.15,0.17,0.18,0.2,0.21
Northeast,ME,0.24,0.24,0.24,0.24,0.25,0.26,0.28,0.27,0.27,0.27
Midwest,MI,0.19,0.19,0.2,0.2,0.2,0.2,0.22,0.22,0.23,0.23
Midwest,MI,0.2,0.21,0.22,0.22,0.23,0.22,0.24,0.25,0.25,0.26
Midwest,MI,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.19,0.2,0.2
Midwest,MI,0.17,0.17,0.18,0.17,0.18,0.19,0.21,0.2,0.2,0.21
Midwest,MI,0.3,0.31,0.3,0.3,0.31,0.3,0.33,0.34,0.34,0.35
Midwest,MI,0.2,0.2,0.2,0.2,0.21,0.21,0.22,0.23,0.23,0.24
Midwest,MN,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Midwest,MN,0.21,0.2,0.2,0.21,0.21,0.2,0.21,0.22,0.22,0.23
Midwest,MO,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2
Midwest,MO,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.21
Midwest,MO,0.19,0.19,0.19,0.2,0.21,0.21,0.23,0.22,0.22,0.23
Midwest,MO,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.18,0.19,0.2
Southeast,MS,0.22,0.22,0.23,0.23,0.24,0.24,0.27,0.27,0.28,0.28
West,MT,0.19,0.18,0.18,0.19,0.19,0.19,0.2,0.22,0.23,0.23
Southeast,NC,0.23,0.23,0.23,0.24,0.24,0.24,0.26,0.27,0.26,0.26
Southeast,NC,0.2,0.2,0.19,0.19,0.2,0.19,0.21,0.22,0.21,0.21
Southeast,NC,0.22,0.22,0.22,0.22,0.23,0.23,0.25,0.26,0.26,0.27
Southeast,NC,0.23,0.23,0.23,0.23,0.24,0.24,0.27,0.27,0.27,0.28
Southeast,NC,0.23,0.23,0.22,0.22,0.22,0.21,0.23,0.23,0.23,0.23
Southeast,NC,0.23,0.22,0.22,0.23,0.23,0.24,0.27,0.27,0.26,0.27
Southeast,NC,0.25,0.26,0.26,0.26,0.26,0.26,0.29,0.31,0.32,0.32
Southeast,NC,0.22,0.23,0.23,0.24,0.24,0.24,0.26,0.27,0.26,0.26
Southeast,NC,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.24,0.23,0.23
Southeast,NC,0.23,0.23,0.23,0.24,0.24,0.25,0.27,0.27,0.28,0.28
Midwest,NE,0.16,0.17,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.19
Northeast,NH,0.17,0.18,0.18,0.19,0.2,0.2,0.22,0.21,0.22,0.22
Northeast,NJ,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.29,0.29
Northeast,NJ,0.23,0.22,0.23,0.23,0.23,0.24,0.27,0.28,0.29,0.29
Southwest,NM,0.22,0.22,0.23,0.22,0.23,0.23,0.26,0.26,0.27,0.27
Southwest,NM,0.26,0.27,0.27,0.27,0.26,0.27,0.29,0.28,0.29,0.28
West,NV,0.23,0.23,0.24,0.25,0.25,0.26,0.3,0.28,0.27,0.27
West,NV,0.21,0.22,0.24,0.24,0.24,0.24,0.26,0.25,0.25,0.25
Northeast,NY,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.22
Northeast,NY,0.2,0.2,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.23
Northeast,NY,0.2,0.2,0.19,0.19,0.2,0.2,0.21,0.21,0.22,0.22
Midwest,OH,0.19,0.19,0.19,0.2,0.2,0.2,0.22,0.22,0.23,0.23
Midwest,OH,0.18,0.18,0.18,0.19,0.19,0.19,0.21,0.21,0.21,0.22
Midwest,OH,0.2,0.2,0.19,0.2,0.2,0.2,0.21,0.21,0.22,0.23
Midwest,OH,0.18,0.18,0.18,0.18,0.19,0.19,0.21,0.21,0.22,0.22
Midwest,OH,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.19,0.2,0.2
Midwest,OH,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.21
Midwest,OH,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.2
Southwest,OK,0.21,0.21,0.2,0.2,0.21,0.21,0.23,0.22,0.22,0.22
Southwest,OK,0.22,0.22,0.21,0.21,0.21,0.22,0.24,0.24,0.25,0.25
Southwest,OK,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.21,0.21,0.21
West,OR,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22
West,OR,0.21,0.22,0.23,0.23,0.23,0.23,0.25,0.26,0.26,0.26
West,OR,0.25,0.26,0.26,0.26,0.27,0.27,0.29,0.29,0.29,0.29
West,OR,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.29,0.29,0.3
West,OR,0.25,0.26,0.25,0.26,0.27,0.29,0.31,0.28,0.26,0.25
Northeast,PA,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.24,0.24,0.25
Northeast,PA,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.23
Northeast,PA,0.2,0.2,0.21,0.2,0.21,0.22,0.24,0.24,0.24,0.25
Northeast,PA,0.17,0.17,0.17,0.17,0.18,0.18,0.2,0.2,0.2,0.2
Northeast,PA,0.18,0.18,0.18,0.18,0.19,0.19,0.21,0.23,0.25,0.25
Northeast,PA,0.17,0.16,0.17,0.17,0.17,0.17,0.18,0.19,0.2,0.21
Northeast,PA,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.18
Northeast,PA,0.16,0.16,0.16,0.16,0.16,0.17,0.19,0.2,0.21,0.22
Northeast,PA,0.19,0.19,0.2,0.2,0.2,0.21,0.23,0.26,0.29,0.3
Northeast,RI,0.22,0.22,0.22,0.23,0.23,0.23,0.25,0.26,0.27,0.28
Southeast,SC,0.24,0.23,0.23,0.23,0.24,0.23,0.26,0.26,0.26,0.26
Southeast,SC,0.22,0.22,0.22,0.23,0.23,0.24,0.26,0.26,0.27,0.27
Southeast,SC,0.24,0.24,0.24,0.23,0.23,0.23,0.26,0.26,0.26,0.27
Southeast,SC,0.25,0.26,0.26,0.25,0.26,0.26,0.29,0.29,0.29,0.29
Southeast,SC,0.24,0.24,0.25,0.24,0.24,0.24,0.28,0.3,0.3,0.31
Southeast,TN,0.25,0.25,0.24,0.24,0.24,0.24,0.27,0.26,0.25,0.25
Southeast,TN,0.22,0.22,0.22,0.22,0.23,0.24,0.26,0.26,0.25,0.26
Southeast,TN,0.23,0.22,0.23,0.23,0.23,0.24,0.27,0.28,0.3,0.3
Southeast,TN,0.22,0.22,0.22,0.22,0.22,0.23,0.25,0.25,0.26,0.26
Southeast,TN,0.2,0.19,0.2,0.21,0.22,0.22,0.24,0.23,0.23,0.23
Southwest,TX,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.23
Southwest,TX,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.25,0.25,0.25
Southwest,TX,0.23,0.23,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.23
Southwest,TX,0.21,0.21,0.2,0.2,0.21,0.2,0.23,0.22,0.21,0.2
Southwest,TX,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24
Southwest,TX,0.2,0.2,0.19,0.2,0.2,0.21,0.24,0.23,0.22,0.21
Southwest,TX,0.26,0.26,0.26,0.26,0.26,0.27,0.29,0.28,0.28,0.27
Southwest,TX,0.2,0.19,0.21,0.22,0.21,0.22,0.23,0.23,0.23,0.23
Southwest,TX,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.26,0.27,0.27
Southwest,TX,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.26,0.26,0.26
Southwest,TX,0.37,0.37,0.35,0.32,0.33,0.34,0.35,0.38,0.41,0.42
Southwest,TX,0.2,0.2,0.21,0.21,0.21,0.22,0.23,0.23,0.24,0.24
Southwest,TX,0.18,0.18,0.18,0.18,0.18,0.19,0.21,0.21,0.21,0.21
West,UT,0.18,0.18,0.19,0.19,0.19,0.19,0.21,0.21,0.2,0.2
West,UT,0.16,0.16,0.16,0.17,0.17,0.18,0.2,0.19,0.19,0.19
West,UT,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.21,0.21,0.2
Southeast,VA,0.22,0.22,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.22
Southeast,VA,0.22,0.21,0.21,0.21,0.22,0.22,0.25,0.25,0.25,0.25
Southeast,VA,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.22,0.21,0.22
Southeast,VA,0.19,0.2,0.19,0.19,0.2,0.2,0.22,0.23,0.24,0.25
Southeast,VA,0.19,0.19,0.19,0.18,0.18,0.19,0.21,0.22,0.21,0.22
Southeast,VA,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.24,0.24
Southeast,VA,0.22,0.22,0.22,0.21,0.21,0.22,0.24,0.25,0.26,0.27
Southeast,VA,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.23,0.24,0.25
West,WA,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.23,0.23,0.23
West,WA,0.19,0.19,0.19,0.2,0.2,0.21,0.25,0.24,0.23,0.23
West,WA,0.2,0.2,0.21,0.21,0.2,0.2,0.22,0.22,0.23,0.23
West,WA,0.21,0.21,0.22,0.22,0.23,0.24,0.26,0.25,0.25,0.25
West,WA,0.2,0.21,0.22,0.22,0.23,0.23,0.26,0.24,0.23,0.23
West,WA,0.22,0.23,0.24,0.24,0.25,0.24,0.27,0.29,0.3,0.31
Midwest,WI,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2
Midwest,WI,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.24
West,WY,0.18,0.18,0.18,0.17,0.18,0.19,0.2,0.2,0.2,0.2
